Country,Age,Annual_Salary,Gender,Education,Payment_Method_Credit_Debit,Living_Region,Online_Service_Preference,AI_Enhance_Experience,AI_Satisfaction,AI_Tools_Used_Chatbots,AI_Tools_Used_Virtual_Assistant,AI_Tools_Used_Voice_Photo,Payment_Method_COD,Payment_Method_Ewallet,Product_Category_Appliances,Product_Category_Electronics,Product_Category_Groceries,Product_Category_Personal_Care,Product_Category_Clothing,AI_Trust,AI_Usage
INDIA,Gen X,Medium High,Female,Master's Degree,NO,Metropolitan,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,Moderate,high
INDIA,Gen Z,Low,Male,University Graduate,YES,Metropolitan,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,Moderate,high
INDIA,Gen X,Medium High,Male,University Graduate,YES,Rural Areas,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,NO,NO,Moderate,low
INDIA,Gen X,High,Male,University Graduate,YES,Rural Areas,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,Moderate,none
INDIA,Gen Z,Low,Male,University Graduate,NO,Rural Areas,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,NO,YES,Moderate,low
INDIA,Gen Z,Low,Male,University Graduate,NO,Metropolitan,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,Moderate,moderate
INDIA,Millennials,Low,Male,Master's Degree,YES,Metropolitan,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,NO,NO,NO,Low,moderate
INDIA,Millennials,Medium,Male,University Graduate,YES,Metropolitan,YES,NO,NO,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,High,high
INDIA,Gen Z,Medium,Female,Highschool Graduate,YES,Metropolitan,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,NO,NO,Moderate,moderate
INDIA,Gen Z,Medium,Male,University Graduate,YES,Metropolitan,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,Moderate,none
INDIA,Millennials,Medium,Male,Master's Degree,YES,Metropolitan,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,Low,low
INDIA,Gen Z,High,Male,Highschool Graduate,YES,Metropolitan,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,High,low
INDIA,Millennials,Low,Male,University Graduate,YES,Metropolitan,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,High,none
INDIA,Millennials,Medium High,Female,Doctorate Degree,YES,Metropolitan,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,High,moderate
INDIA,Gen Z,High,Male,University Graduate,YES,Metropolitan,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO,NO,YES,Moderate,moderate
INDIA,Gen Z,Low,Male,University Graduate,YES,Rural Areas,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,High,high
INDIA,Gen X,High,Female,Doctorate Degree,YES,Metropolitan,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,YES,Moderate,moderate
INDIA,Gen Z,Low,Female,University Graduate,NO,Rural Areas,NO,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,YES,Moderate,moderate
INDIA,Gen Z,High,Female,University Graduate,YES,Metropolitan,YES,YES,YES,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,Moderate,moderate
INDIA,Millennials,Low,Male,University Graduate,YES,Metropolitan,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,NO,YES,YES,High,moderate
INDIA,Gen Z,High,Female,Master's Degree,YES,Metropolitan,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,YES,Moderate,high
INDIA,Millennials,Medium High,Male,University Graduate,NO,Metropolitan,NO,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,Moderate,low
INDIA,Gen Z,Low,Female,University Graduate,YES,Rural Areas,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO,YES,High,moderate
INDIA,Millennials,Medium,Female,Master's Degree,YES,Metropolitan,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,Moderate,low
INDIA,Millennials,Low,Male,University Graduate,YES,Metropolitan,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,NO,YES,High,moderate
INDIA,Millennials,Medium,Male,Master's Degree,YES,Metropolitan,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,Moderate,high
INDIA,Millennials,Medium High,Female,Master's Degree,YES,Metropolitan,YES,YES,YES,NO,YES,YES,NO,YES,NO,YES,NO,NO,YES,High,moderate
INDIA,Millennials,Medium High,Male,University Graduate,YES,Metropolitan,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,Moderate,high
